ALL VALUES ARE ARE LOG(2) [EXPRESSION RATIOS] 					Experimental treatment:	15 microg/ml Nor, 2 min	15 microg/ml Nor, 5 min	15 microg/ml Nor, 10 min	15microg/ml Nor, 20 min	15 microg/ml Nor, 30 min	50 microg/ml Nor, 2 min	50 microg/ml Nor, 5 min	50 microg/ml Nor, 10 min	50 microg/ml Nor, 20 min	50 microg/ml Nor, 30 min	42º C, 2 min	42º C, 5 min	42º C, 10 min	42º C, 20 min	42º C, 2 min	42º C, 5 min	42º C, 10 min	42º C, 20 min	15 microg/ml Nor, 2 min	15 microg/ml Nor, 3 min	15 microg/ml Nor, 4 min	15 microg/ml Nor, 5 min	15 microg/ml Nor, 7 min	15 microg/ml Nor, 10 min	15 microg/ml Nor, 15 min	15 microg/ml Nor, 20 min	15 microg/ml Nor, 30 min	50 microg/ml Nor, 2 min	50 microg/ml Nor, 5 min	50 microg/ml Nor, 10 min	50 microg/ml Nor, 20 min	50 microg/ml Nor, 30 min	20 microg/ml Novo, 5 min	50 microg/ml Novo, 5 min	200 microg/ml Novo, 5 min
napG 	b2205	ferredoxin-type_protein:_electron_transfer	0.2021372196	1	0	0.04264	-0.6666	-0.2009	0.4222	-0.4344	0.6041	-0.04394	-0.02915	0.6229	-0.4739	0.189	-0.454	-0.889	-0.1844	0.3334	-0.2515	-0.1844	0.1243	-0.1203	0.2316	0.2987	-0.4941	0.148445	-0.4344	0.2449	-0.3585	-0.00725	0.5753	0.9486	0.9411	0.856	1.618	-0.6215	-1.089	-1.029
napA 	b2206	probable_nitrate_reductase_3	-0.1025117078	1	0	0.1375	-0.2863	-0.1844	0.669	-0.3401	0.2141	0.2869	0.09761	0.7137	-0.3771	-0.3219	-0.3401	-0.3585	-0.4739	0.263	-0.5353	-0.6897	-0.2515	-0.1047	-1.0302	-1	-1.152	-0.90875	-1.089	-1.0045	-1.474	-0.23695	1.176	1.176	2.043	1.766	1.31	-1.12	-1.644	-1.776654
napD 	b2207	orf,_hypothetical_protein	-0.3296539639	1	0	-0.2863	0.1375	0.02857	0.111	-0.2688	0.1375	0.1375	-0.1047	0.09761	-0.1681	0.041221	0.381532	-0.304	0.364674	-0.074	0.189134	0.202189	0.6871	-0.05889	0.19365	0.5059	0.189	0.2353	-0.1047	0.2922	-0.2863	-0.34485	-1.396	-1.69	-1.737	-1.12	0.1243	1.428	-3.184	-2.100495
napF 	b2208	ferredoxin-type_protein:_electron_transfer	-0.2322147341	1	0	-0.3401	-0.2863	-0.04394	0.111	-0.3959	0.1763	0.02857	-0.04394	0.1243	-0.2863	0.6508	0.04264	0.09761	-0.2688	0.3785	0.08406	-0.02915	0.3448	0.04264	-0.066445	0.1506	0.2869	0.174675	-0.1203	0.14682	0.04264	0.25295	-0.2688	-0.4344	0.05658	-0.1361	-0.304	-2.184	-0.9159	-2.184
eco 	b2209	ecotin,_a_serine_protease_inhibitor	-0.5855965189	0.20125	-2.3129393117	0.3448	0.5945	0.2141	0.4854	0.251	0.546	0.4854	0.3448	0.3448	0.1506	-0.2009	0.3561	0.7398	-0.1681	-0.5353	-0.2176	-0.2176	-0.1203	0.5656	-0.304	-0.163058	0.263	-0.304	-0.5146	-0.9434	-0.5995	-0.3333	0.2141	-0.04394	-0.2345	-0.5778	-0.6439	0.669	0.546	0.05658
yojH 	b2210	orf,_hypothetical_protein	-0.371839828	0.920875	-0.1189227574	1.373	0.6135	1.66	2.007	1.66	0.5361	1.043	1.417	1.124	0.9635	-1.644	-1.837	-0.9159	-0.6215	-2.252	-3.059	-2.12	-2.322	0.2016	-0.1714	-0.05889	-0.2863	-0.3585	-0.6897	-0.57025	-0.2863	-0.26765	-0.04394	0.3334	-0.0145	0.111	0.84	-0.737	-0.5564	-1.029
mqo 	b2211	Malate:quinone_oxidoreductase	0.2184461532	1	0	-0.304	-0.5995	-0.7612	-1.286	-0.889	-0.2345	-0.5778	-1.184	-1.556	-1.152	0.02857	-0.6439	-0.2863	0.05658	-0.7859	-0.7612	-1	-0.737	-0.3219	-0.2782	-0.3219	-0.4941	-0.051415	-0.9434	-0.001805	0	-0.17925	-0.2009	0.263	-0.02915	0.2016	0.3674	-1.152	-1.474	-1.889
alkB 	b2212	DNA_repair_system_specific_for_alkylated_DNA	0.0637100093	1	0	-0.2345	0.01436	0.05658	-0.3959	-0.04394	-0.1681	-0.0145	-0.152	-0.2176	-0.3771	-0.5995	-0.2009	-0.2009	-0.9159	-0.0145	-0.3959	-0.3959	0.08406	-0.1681	0.5888	0.2869	0	0.87895	-0.737	0.58795	-0.2345	-0.152	-0.2863	-0.5778	-0.415	-0.415	0.3785	-1.737	-1.400035	-0.3585
ada 	b2213	O6-methylguanine-DNA_methyltransferase;_transcription_activator/repressor	-0.4098897957	0.996875	-0.0045154811	0.2016	-0.304	0.09761	-0.074	0.1243	0.3334	0.3448	0.3334	0.6508	0.3448	-0.6439	-0.4344	-0.152	-0.074	0.1635	0.05658	-0.152	0.2265	-0.074	0.104825	-0.02915	-0.454	0.3045	-1.184	0.04678	0.111	-0.02197	-0.4739	-0.9159	-1	-0.6666	-0.08927	-0.5564	-0.2515	-1.029
ompC 	b2215	outer_membrane_protein_1b_(Ib;c)	-0.3535300955	0.9965	-0.0050582898	0.6508	0.9709	0.5558	0.7312	0.9635	0.757	0.6781	0.5656	0.5361	0.7049	-0.3219	-0.4344	-0.304	0.02857	-0.1361	-0.811	-1.029	-0.5564	0.7049	-0.1682	-0.3219	0.2265	-0.1606	-0.7859	-0.8382	-0.9434	-0.5295	0.848	0.8156	0.6415	0.2141	-0.7131	0.8074	0.8237	0.8237
yojN 	b2216	putative_2-component_sensor_protein	-0.6380794322	0.002	-8.9657842847	0.1243	0.3896	0.08406	0.3561	0.6041	0.1763	-0.04394	0.3103	0.3219	0.5753	0.275	-0.2009	-0.3771	0.2016	-0.9434	-0.5995	-0.3219	-0.4739	-0.9714	-1.2125	-1.252	-1.089	-1.3495	-1.089	-1.252	-0.6215	-0.076	-0.1681	0.3334	0.5261	-0.152	-0.2688	-0.5995	-1.089	-1.474
rcsB 	b2217	positive_response_regulator_for_colanic_capsule_biosynthesis,_(sensor,_RcsC)	-0.7533344057	0.002875	-8.4422223286	0.3896	0.5945	0.3674	0.189	0.7485	0.1635	0.111	0.05658	0.516	0.3103	-0.6215	-0.304	-0.2863	0.5059	-1.089	-0.152	-0.1361	-0.5995	-0.2863	-0.83055	-0.304	-0.4344	-0.79645	-0.7612	-1.0205	-1	-0.5445	0.263	-0.8365	-0.4344	-0.5995	-0.5564	-0.2688	-0.3771	-1.184
rcsC 	b2218	sensor_for_ctr_capsule_biosynthesis,_probable_histidine_kinase_acting_on_RcsB	-0.0988681422	1	0	-0.1681	-0.1681	-0.05889	-0.1361	0.433	-0.737	-0.7612	-0.8365	-0.737	-0.4344	-0.415	0.1375	-0.4344	0.01436	-0.8625	-0.8365	-0.5995	-0.6897	-0.737	-0.7378	-0.9434	-1.089	-1.0302	-1	-0.72625	-0.2688	-0.29975	0.6229	0.7137	1.036	0.9928	1.17	-1.184	-2	-2.556
atoS 	b2219	sensor_protein_AtoS_for_response_regulator_AtoC	0.0654583948	1	0	0.1243	-0.7131	-0.5564	-0.0145	-0.5564	-0.6897	-0.2863	-0.1844	0.774	-0.2009	-1.737	-0.3401	-0.737	0.585	-0.4941	-0.3959	-0.5146	-0.2345	-0.3585	-0.007685	-0.2009	0.3896	0.127535	0.1243	0.08175	0.5656	-0.1088	1.251	0.7398	1.281	0.9855	1.091	-1	-2.039546	-4.059
atoC 	b2220	response_regulator_of_ato,_ornithine_decarboxylase_antizyme_(sensor_ATOS)	0.1008664269	1	0	0.3561	-0.2345	0.1375	0.2869	-0.3959	-0.4739	-0.4739	-0.6215	0.7398	-0.5995	-0.6439	-0.304	-0.6215	-0.889	-0.6897	-1.029	-0.889	-0.420797	-0.152	-0.2176	0.2388	-0.737	-0.252135	-0.8365	-0.4469	0.04264	-0.037	0.9855	1	0.9709	1.275	0.9928	-1.059	-1.644	-1.515
atoD 	b2221	acetyl-CoA:acetoacetyl-CoA_transferase_alpha_subunit	0.3505199576	1	0	0.2987	-0.1681	-0.5146	-1	-0.04394	-0.9434	-0.737	-0.3585	-0.737	-0.04394	-0.15696	0.2388	-0.7859	-3.474	-0.7859	-0.294126	-3.322	-0.1681	-0.415	0.20785	0	-0.7859	0.37235	0.08406	0.56625	0.2987	-0.3685	-0.3585	1.176	-0.2515	0.3103	0.757	-0.416104	-0.6666	-1.482811
atoA 	b2222	acetyl-CoA:acetoacetyl-CoA_transferase_beta_subunit	0.5416617745	0.008875	-6.8160371652	-0.8625	-0.6215	-0.2515	-0.5778	-0.4739	0.01436	-0.9434	-0.4739	-0.5778	-0.6666	-0.074	-0.454	0.275	-0.5995	0.9184	0.5945	0.4114	0.1635	0.3219	0.37425	0.6508	0.5558	0.42615	0.585	0.32015	0.9184	0.29725	0.2987	0.263	-0.1203	0.6781	0.07039	-0.121772	-0.6215	-1.003141
atoE 	b2223	short_chain_fatty_acid_transporter	0.1345785396	1	0	-0.737	-0.454	-0.152	-0.2863	-0.05889	0	-0.3771	-0.4739	-0.3585	-0.2515	-1.059	0.5558	-0.1047	1.316	1.138	0.632473	0.926	1.014	0.1243	0.065055	0.3103	-0.1844	0.3448	-0.02915	0.23045	0.5059	0.1255	0.3219	0.7312	1.151	1.585	1.566	-4.644	-1.69	-1.396161
atoB 	b2224	acetyl-CoA_acetyltransferase	0.1497293605	1	0	-0.3771	-0.5564	-0.2009	0.1763	-0.02915	-0.4344	-0.3401	-0.1681	-0.4941	-0.4941	0.1375	0.1506	-0.2009	0.3219	1.599	0.385668	0.5261	0.585	-0.152	-0.2009	-0.2345	0.3448	-0.17397	0.111	-0.08748	-0.02915	0.1194	1.766	0.9709	1.263	1.31	1.618	-2.837	-1.837	-1.515
b2225 	b2225	orf,_hypothetical_protein	0.161068792	1	0	-0.6439	-0.5778	-0.5564	-0.5353	-0.2863	0.2265	-0.3771	-0.04394	-0.2009	-0.5353	0.3103	-0.6897	0.7398	2.144	1.151	1.384	1.757	1.339	-0.3401	0.32765	0.4957	-0.05889	0.39785	0.1375	0.2181	0.1243	-0.17925	0.1635	0.3103	0.774	1.084	0.7655	-0.82661	-1.358	-1.086457
b2226 	b2226	orf,_hypothetical_protein	0.4723113358	0.540875	-0.8866328792	-0.6215	-0.4739	-0.2345	-0.304	0.09761	-0.6666	-0.152	-0.1844	-0.7859	-0.8625	0	0.4647	0.04264	-1.059	0.3334	1.322	0.5261	0.2869	-0.1047	-0.066925	-0.0145	0.07039	0.2388	0.04264	-0.1528	0	0.02132	1.664	0.926	1.257	1.918	1.39	-0.633992	-0.413056	-0.802358
b2228 	b2228	putative_membrane_protein	0.2542581385	1	0	-0.1361	-0.2688	-0.304	-0.7131	0.189	-0.5778	-0.6215	-0.1203	-0.4941	-0.2176	0.3334	-0.4344	-0.2176	-0.3401	-0.2688	-0.414968	-2	-0.4941	-0.6897	0.1692	0.4114	0.111	0.7312	-0.04394	0.4105	0.111	0.1837	0.4647	0.5945	0.5753	1.753	1.77	-0.903019	-1.837	-1.917764
b2229 	b2229	orf,_hypothetical_protein	-0.136736574	1	0	-0.3959	0.05658	-0.2345	-0.8625	-0.2176	-0.0145	-0.1203	0.1243	-0.304	-0.3585	0.3785	2.678	-0.454	0.603369	0.263	-0.7131	0.5361	0.4114	0.275	0.31145	0.1763	0.433	0.5317	0.4542	0.35965	0.4957	0.1315	-0.9159	-0.4941	-0.6666	0.111	0.2388	-1.396	-1.12	-1.362571
yfaA 	b2230	orf,_hypothetical_protein	0.7104417519	0.02225	-5.4900508537	0.05658	-0.1047	0.04264	-1.089	-0.415	-0.152	-0.737	0.02857	-1.252	-1.358	-1.599	0.2987	-1.12	-0.737	1.305	-0.152	-0.4344	0.251	-0.1047	0.22573	-0.074	0.585	0.3334	1.029	0.40735	0.433	0.23235	0.9709	1.674	1.74	2.433	1.86	0.189	0.068794	0.189
gyrA 	b2231	DNA_gyrase,_subunit_A,_type_II_topoisomerase	0.6657114668	0.06225	-4.0057823526	0.669	0.8639	0.585	-0.2863	-0.2176	0.774	0.9336	1.043	0.669	0.6323	-0.3771	-0.4344	-0.152	-0.415	0.669	0.6415	0.8156	0.7824	1.328	0.2869	0.3674	2.053	0.9275	2.305	1.353	1.585	0.802	0.7991	1.339	1.748	1.395	1.214	2.438	2.707	1.975
ubiG 	b2232	3-demethylubiquinone-9_3-methyltransferase_and_2-octaprenyl-6-hydroxy_phenol_methylase	0.2405999708	1	0	0.3448	0.4114	0.4114	0.1243	-0.074	0.2265	0.3219	0.5656	0.516	0.4854	-1.12	-0.8365	-0.7131	-0.6215	-1	-0.4344	-0.3959	-0.2009	0.3561	-0.7402	-0.4941	0.4114	-0.3959	0.856	-0.304	0.4436	0.35245	-0.2176	0.2388	0.7398	0.8156	0.84	0.7398	0.7824	0.275
yfaL 	b2233	putative_ATP-binding_component_of_a_transport_system	0.6229662764	0.139625	-2.8403708142	0.1375	0.2016	0.189	-0.3771	0.3219	-0.2176	-0.2176	0.05658	-0.6215	-0.3959	0.09761	0.9184	-0.02915	0.2016	0.5361	0.7991	0.7398	0.3674	0.4222	0.3119	0.275	0.9411	1.08875	1.281	2.0065	0.848	0.6225	0.4222	1.963	3.082	3.487	2.506	0.251	0.2265	-0.08927
nrdA 	b2234	ribonucleoside_diphosphate_reductase_1,_alpha_subunit,_B1	-0.6322310027	0.016875	-5.8889686876	0.2141	0.6041	1.287	0.848	1.872	0.2265	0.1375	1.444	1.333	2.513	0.251	0.2987	0.4114	-0.1047	-0.3585	-0.6897	-0.2345	0	-0.454	-2.7935	-2.474	-1.474	-2.943	-0.1681	-0.72115	1.722	1.2645	-0.8625	-2	-2.322	-0.889	-0.7131	-0.454	-1.029	-1.786
nrdB 	b2235	ribonucleoside-diphosphate_reductase_1,_beta_subunit,_B2	-0.6080750926	0.089375	-3.483984853	-0.1681	0.07039	0.7485	0.3561	1.379	-0.04394	-0.4344	0.5558	-0.152	1.208	0.263	0.111	0.585	-0.1844	0	-0.2176	0.07039	0.2869	-0.5146	-1.841	-2.252	-1.396	-2.476	-1	-1.574	0.856	0.7295	-0.8365	-1.396	-2.474	-1.396	-0.7131	-0.05889	-0.7131	-1.12
yfaE 	b2236	orf,_hypothetical_protein	-0.5440475292	0.65425	-0.6120860756	0.04264	0.01436	0.3561	-0.2515	0.757	-0.5353	-1.12	-0.045353	-0.9434	0.7137	0.2016	0.4436	1.911	0.8074	-0.2009	0.005126	0.8156	0.275	-0.1844	-1.35	-1.737	-1.252	-1.797	-0.8365	-1.405	0.774	0.44765	-2.252	-3.837	-1.69	-1.286	-0.9714	-0.2515	-0.9159	-1.474
inaA 	b2237	pH-inducible_protein_involved_in_stress_response	-0.0709577732	1	0	-0.2009	-0.7859	-0.2688	-0.04394	0.263	-1.029	-0.5146	-0.8625	-0.4344	-0.4941	0.516	-0.2688	-0.2176	-0.3959	-0.5564	-0.9159	-1.059	-0.7859	-0.7612	-0.8018	-0.9714	-0.9714	-0.72545	-0.9434	-0.4356	0.6415	0.4359	-0.1203	0.4436	-0.0145	-0.04394	0.2265	-0.454	-0.8365	-1.556
yfaH 	b2238	orf,_hypothetical_protein	-0.173186426	1	0	0.111	-1.286	-0.9159	0.189	-1.69	-0.064945	-0.074	-1	0.189	-0.9714	-1.218	1.22	-0.2009	0.7137	0.3448	-0.335645	-0.3401	0.1243	-0.2515	-0.3152	-0.2863	-1.599	-0.0636	-2.474	-0.1859	0.84	-0.24705	-2.737	-1.184	1.183	-1.12	-0.8625	-1.152856	-1.837	-1.322
glpQ 	b2239	glycerophosphodiester_phosphodiesterase,_periplasmic	-0.6273242157	0.418625	-1.256269624	0.7908	0.08406	-1.218	1.411	-0.5995	1.233	0.6323	-0.1203	1.903	0.4542	0.4647	-0.1361	0.07039	0.1635	-0.4344	-0.4739	-0.5564	-0.5353	0.6781	0.2141	0.4222	-0.2345	-0.5353	-2.184	-4.059	0.5261	0.23755	0.02857	-0.074	-1.396	-3.059	-2.943	-2.059	-2.322	-2.737
glpT 	b2240	sn-glycerol-3-phosphate_permease	-0.5408154675	0.9565	-0.0641631263	0.669	-0.415	-1.599	1.064	-0.9714	0.848	0.7824	0.04264	1.757	0.5656	0.263	-0.304	-0.3401	-0.4941	0.6323	0.251	-0.3959	0.189	0.6781	0.1005	0.251	-0.3585	-1.3048	-1.837	-4.144	0.757	0.2111	0.09761	-0.3585	-1.69	-2.252	-2.556	-2.837	-2.737	-3.474
glpA 	b2241	sn-glycerol-3-phosphate_dehydrogenase_(anaerobic),_large_subunit	-0.4538709509	0.994875	-0.0074128237	0.3219	-1.152	-1.358	0.8875	-1.218	0.5753	0.696	-0.6439	2.359	1.208	0.4542	0.08406	0.02857	-0.415	0.05658	0.111	0.189	0.433	0.4542	-1.212575	-1.218	-1.786	-1.85895	-3.644	-3.253	2.07	0.33905	0.3561	-1.089	0.7485	-1.515	-1.358	-2.252	-2.644	-2.396
glpB 	b2242	sn-glycerol-3-phosphate_dehydrogenase_(anaerobic),_membrane_anchor_subunit	-0.391813642	1	0	0.926	-0.737	-1.286	1.22	-0.4941	0.7908	0.6781	-0.6897	2.157	1.007	-1.556	-0.2176	-0.4941	-1.252	0.02857	-0.7859	-1.059	-0.3219	0.9411	0.1461	0.3674	-1.252	-0.8495	-3.644	-0.7761	1.614	0.2427	0.275	-1.218	-2.252	-1.358	-0.737	-1.737	-2.737	-2.134784
glpC 	b2243	sn-glycerol-3-phosphate_dehydrogenase_(anaerobic),_K-small_subunit	-0.4695926917	0.999375	-0.0009019663	0.8718	-0.2688	-1.358	1.411	0.04264	0.8156	0.3334	-0.5564	2.302	0.9709	-0.5146	0.4005	-0.1203	-0.8365	0.3785	0.2987	-0.2515	0	1.157	0.50665	0.84	-0.6215	-0.49295	-3.474	-1.5775	1.696	0.2165	-0.0145	-1.322	-2.059	-2.252	-1.184	-1.515	-2.184	-2
yfaD 	b2244	orf,_hypothetical_protein	-0.2264654651	1	0	0.6229	-0.2176	0.02857	0.08406	-0.0145	0.1635	-0.1203	-0.1203	0.4957	0.2141	-0.4739	-0.2863	-0.304	-0.152	0.4957	-0.5353	-0.7612	-0.9159	0.3561	-0.1715	-0.2515	-0.3959	-0.4171	-0.6666	-0.48485	0.4751	0.1008	0.275	0.4647	-0.152	0.2987	1.384	-1.12	-1.252	-2.837
b2245 	b2245	orf,_hypothetical_protein	-0.0602232103	1	0	0.05658	-0.3771	0.111	-0.02915	0.1375	-0.2345	-0.415	-0.1361	-0.5778	-0.1047	0.7137	0.4647	0.4005	0.5059	0.9782	0.696	0.4005	0.2987	-0.08927	0.048805	0	-0.08927	-0.08212	-0.4344	-0.00405	0.02857	0.0945	0.4854	0.275	0.4114	0.9709	0.6871	-1.786	-0.9434	-1.34959
b2246 	b2246	putative_transport_protein	-0.0084082521	1	0	0.08406	-0.5146	-0.08927	-0.4344	-0.6439	0.3219	-2.474	-0.2176	-0.3401	-0.2345	1.417	0.1375	-0.737	1.727	0.903	-0.2176	0.6871	0.6871	-0.3585	0.06268	0.08406	-0.3585	-0.276495	0.1506	0.277895	-0.3219	-0.17005	1.774	1.077	1.465	1.541	1.063179	-1.396	-5.059	-1.962007
b2247 	b2247	putative_racemase	0.153199769	1	0	-0.1203	-0.8365	-0.3219	0.2265	0.2141	-0.2863	0.1506	-0.5778	0.01436	-0.5564	0.1506	0.585	-0.2688	-0.6215	1.934	0.02857	0.1375	0.5945	0.111	0.33975	0.2987	-0.0145	0.3662	0.433	0.10418	0.6871	0.2925	1.428	1.339	1.531	2.025	1.963	-6.644	-1	-1.396
b2249 	b2249	orf,_hypothetical_protein	-0.2415411764	1	0	-0.1047	0.02857	-0.2515	0.5261	0.6871	0.1763	-0.05889	-0.2688	-0.1361	-0.04394	-0.05889	-0.5353	-0.7859	-0.2863	-0.6897	-1.434	-1.152	-1.434	0.09761	-0.41825	-0.4344	-0.6666	-0.5784	-0.7612	-0.7139	-0.7859	-0.14315	0.7485	1.131	0.7824	1.098	1.057	-2.943	-2.059	-3.644
b2250 	b2250	orf,_hypothetical_protein	0.1083789597	1	0	0.2016	0.1635	0.1506	-0.05889	-0.2863	-0.08927	0.05658	-0.05889	0.02857	-0.8365	-0.2176	-0.2515	-0.1844	-0.4941	-0.1047	0.2265	0.05658	-0.3585	0.3561	-0.128685	0.1763	0.2265	0.16173	0.2987	0.19499	0.3785	0.1837	-1.786	0	-0.5146	2.604	0.3334	-1	-0.8625	-1.322
yfaO 	b2251	orf,_hypothetical_protein	-0.3014827847	1	0	0.3561	-0.0145	-0.5995	0.251	-0.3219	0.251	-0.074	-0.2345	-0.1681	-0.08927	0.1243	0.9782	0.9782	-0.2176	0.04264	1.000559	0.8639	-0.074	-0.1203	0.27945	0.3785	-0.2176	0.4234	0.4005	0.2845	0.3896	-0.32195	-0.08927	-0.2515	-0.6666	-0.4344	0.111	-1.599	-1.837	-2.242942
b2253 	b2253	putative_enzyme	0.5990849795	0.00475	-7.7178567712	-0.3401	-0.5564	0.1506	0.111	0.263	-0.2515	-0.4739	-0.4739	-0.1681	-0.3771	-0.1047	-0.1203	0.09761	-0.737	1.077	2.87	1.138	0.08406	1.104	0.2922	-0.0145	2.272	0.28085	2.746	0.9179	0.7049	0.1837	0.856	1.287	2.521	2.651	2.163	0.6323	0.2265	-0.3219
b2254 	b2254	putative_sugar_transferase	0.5702952092	0.019875	-5.6529013294	-0.6897	-0.2345	0	-0.5995	0.04264	-0.3219	-0.6439	-0.6897	-0.3585	-0.6439	0.2987	0.7485	0.757	0.5558	2.118	2.322	2.134	1.406	1.144	0.265305	-0.02915	1.872	0.5206	2.163	0.7526	0.4647	0.30675	0.275	0.5261	2.111	2.16	2.173	0.84	0.3561	-0.3959
b2255 	b2255	putative_transformylase	0.609716884	0.02375	-5.3959286763	-0.1844	-0.415	-0.3585	-0.2009	-0.152	-0.5778	-0.4344	-0.5778	-0.6215	-0.811	0.6871	0.4436	0.3219	0.1243	0.8875	1.31	1.07	0.3561	0.2987	0.02829	-0.1844	1.465	0.360255	1.39	0.5849	0.251	0.1255	1.021	1.111	1.449	1.856	1.428	0.1635	0.2869	-0.2176
b2256 	b2256	orf,_hypothetical_protein	0.6018918853	0.014	-6.1584293626	-0.5564	-1.059	-0.2515	-0.454	-0.1681	-0.04394	-0.5146	-0.454	-0.6897	-0.7612	-0.2688	-1.184	0.09761	0.3561	0.7991	0.9107	0.9411	1.029	-0.1047	0.149605	0.433	1.157	0.31475	0.9855	0.2239	0.516	-0.029445	0.546	0.4957	1.202	1.48	0.7908	-0.1844	-0.5353	-0.8365
b2257 	b2257	orf,_hypothetical_protein	0.5378089774	0.5575	-0.8429562899	-0.4739	-0.3959	-0.1361	-0.4941	-0.02915	-1.029	-0.9714	-1.12	-1.089	-1.184	0	-0.1047	-0.454	-1.152	-0.3959	-1.396	-0.3219	-0.1844	-0.2688	0.13018	0.1375	0.1763	0.3561	0.2388	0.1947	-0.074	0.28765	1.501	0.8639	1.736	1.664	1.628	-0.5564	-0.8625	-1
b2258 	b2258	putative_transport/receptor_protein	-0.5685739017	0.087875	-3.5084034056	-0.2515	-0.2176	-0.1844	0.04264	-0.2345	-0.454	-0.1361	-0.1203	0.2141	0.05658	0.2869	-0.2688	1.176	0.4114	-1.599	-1	-0.889	-0.6897	-1.358	0.1194	-0.0145	-1.943	0.166695	-1.286	0.3646	-1.434	-0.39295	-0.3219	-1.396	-0.04394	-1.322	-0.7612	-1.252	-2.474	-2.943
pmrD 	b2259	polymyxin_resistance_protein_B	-0.594600065	0.03225	-4.9545570292	0.2016	0.2141	0.1506	0.3334	-0.1361	0.4751	0.275	0.07039	0.4957	0.1243	-0.6666	-1.029	0.1375	0.3561	-2	-1.786	-2	-1.252	0.4436	-1.0703	-1.152	0.1375	-1.218	-0.811	-1.01795	-0.4941	-0.41825	-0.02915	-0.152	-0.5146	-0.5564	-0.5146	-0.8365	-1.599	-1
menE 	b2260	o-succinylbenzoate-CoA_ligase	-0.2905575695	1	0	0.02857	0.2141	0.02857	-0.152	-0.074	-0.08927	0.1635	0	-0.0145	-0.074	-0.5564	0.111	-0.5146	0.4751	-0.5995	-0.97754	-0.074	-0.2345	0.09761	-0.051645	-0.2863	-0.04394	-0.2436	0.1243	-0.35775	-0.2688	-0.16095	0.5059	0.1635	0.01436	-0.2176	-0.152	-0.3959	-0.2515	-0.8365
menC 	b2261	o-succinylbenzoyl-CoA_synthase;_conversion_of_chorismate_to_2-o-succinylbenzoyl-CoA	-0.3433276787	1	0	-0.1203	0.2141	-0.0145	-0.454	-0.6666	0.1375	0.111	0.1763	-0.4941	-0.304	-0.5146	-0.5778	-0.9434	-0.5995	0.111	-1.12	-0.6897	-0.737	0.3896	-0.63615	-0.4941	-0.737	-1	-1.837	-1.136	-1.218	-0.8685	0.7312	0.1763	-0.074	-0.1844	-0.0145	-1.396	-0.4941	-3.837
menB 	b2262	dihydroxynaphtoic_acid_synthetase	-0.0654630298	1	0	0.263	0.2869	0.2016	-0.7131	-0.7612	0.2869	0.3103	0.4114	-0.2688	-0.2515	-2.837	-1.737	-1.786	-1.737	-0.7859	-1.69	-3.184	-1.556	0.3334	-0.48485	-0.6897	-0.2688	-1.0485	-1.089	-1.6025	-1.434	-0.9185	0.7225	-0.415	-1.029	-1.286	-1.358	0.4957	1.614	-0.4739
yfbB 	b2263	putative_enzyme	-0.4563037585	0.907625	-0.1398317471	-0.2688	0.02857	-0.05889	0.09761	-0.8365	0.3219	0.1635	0.251	-0.1047	-0.2345	-0.2688	-0.1681	0.5361	0.08406	0.6135	-0.889	0.09761	-0.08927	0.1243	-0.6222	-1.029	-0.5564	-0.61385	-0.5995	-0.12835	-0.5564	-0.29975	-0.05889	-0.415	-0.8365	-0.3219	-0.074	-1.737	-0.5995	-0.6439
menD 	b2264	2-oxoglutarate_decarboxylase;_SHCHC_synthase	-0.137157304	1	0	-0.05889	0.2987	0.1375	-0.2515	-0.8365	0.2388	0.3674	0.4222	-0.3585	-0.3585	-0.737	-0.4941	-0.6666	-1.152	-0.1047	-1.059	-0.5353	-0.741779	-0.4941	-1.377	-0.889	-1.029	-0.90105	-0.9434	-0.5147	-1.218	-0.39295	-0.3959	0.189	0.1763	-0.04394	-0.02915	0.251	-0.1681	0.05658
menF 	b2265	isochorismate_hydroxymutase_2,_menaquinone_biosynthesis	-0.2600188174	1	0	0.903	1.036	0.189	0.3219	-0.415	0.546	-0.02915	0.07039	0.111	-0.2176	-0.9434	-1.396	-0.9434	-0.3771	-0.2009	-1.358	-0.1361	0	0.7655	-0.2873	-0.5146	0.433	-0.06385	0.1243	-0.2436	-0.0145	-0.3333	-0.2176	-0.5995	-1.69	-2.837	-2.837	0.546	0.757	0.433
elaB 	b2266	orf,_hypothetical_protein	-0.4523957621	0.967125	-0.0482257262	0.05658	0.2265	-0.5564	0.1506	0.1635	-0.074	0.3334	-0.1047	0.2141	0.2016	0.9709	1.926	0.840467	3.098	0.7225	-0.737	-2.737	-0.5146	-0.1203	-0.09425	0.1763	0.189	0.2008	-0.2515	0.097345	-0.5564	-0.32195	-0.4739	-0.5995	-1.12	-1.152	-0.074	0.5361	0.2388	0.5753
elaA 	b2267	orf,_hypothetical_protein	-0.6558164209	0.025625	-5.2863041852	-0.1681	0	-0.2863	-0.08927	0.2265	0.1506	0.2869	-0.152	0.1506	-0.074	-0.1361	0.585	0.2141	1.021	-0.1681	-0.5564	-0.889	-0.5995	0.1506	-0.35775	-0.1047	0.2265	-0.2688	-0.811	-0.3058	-1.184	-0.12575	-1.12	-1.556	-1.396	-0.7612	-0.0145	-1.029	-1.556	-1.515
