ALL VALUES ARE ARE LOG(2) [EXPRESSION RATIOS] 					Experimental treatment:	15 microg/ml Nor, 2 min	15 microg/ml Nor, 5 min	15 microg/ml Nor, 10 min	15microg/ml Nor, 20 min	15 microg/ml Nor, 30 min	50 microg/ml Nor, 2 min	50 microg/ml Nor, 5 min	50 microg/ml Nor, 10 min	50 microg/ml Nor, 20 min	50 microg/ml Nor, 30 min	42º C, 2 min	42º C, 5 min	42º C, 10 min	42º C, 20 min	42º C, 2 min	42º C, 5 min	42º C, 10 min	42º C, 20 min	15 microg/ml Nor, 2 min	15 microg/ml Nor, 3 min	15 microg/ml Nor, 4 min	15 microg/ml Nor, 5 min	15 microg/ml Nor, 7 min	15 microg/ml Nor, 10 min	15 microg/ml Nor, 15 min	15 microg/ml Nor, 20 min	15 microg/ml Nor, 30 min	50 microg/ml Nor, 2 min	50 microg/ml Nor, 5 min	50 microg/ml Nor, 10 min	50 microg/ml Nor, 20 min	50 microg/ml Nor, 30 min	20 microg/ml Novo, 5 min	50 microg/ml Novo, 5 min	200 microg/ml Novo, 5 min
yeeX 	b2007	putative_alpha_helix_protein	-0.77229884	0.00125	-9.6438561898	0.111	0.111	-0.1361	-0.2176	-0.3401	0.263	0.1763	0.08406	0.2141	-0.1203	0.7398	0.8074	0.263	0.3334	-0.304	-0.5778	-0.3771	-0.3771	0.07039	-1.01995	-0.6897	-0.811	-2.092	-1.69	-2.398	-1.12	-0.778	-0.05889	-0.5564	-0.4739	-1.218	-1.029	-0.4344	-0.737	-1.218
nmpC 	b0553	outer_membrane_porin_protein;_locus_of_qsr_prophage	-0.728259055	0.001375	-9.506352666	0.5753	0.251	0	0.7655	-0.0145	0.7485	0.848	0.2869	1.978	1.836	-0.5353	-0.5778	0.1635	1.433	-1.515	-0.9434	-0.6897	0.848	-0.8365	-1.898	-2.184	-2.556	-3.0105	-3.184	-3.329	-0.6897	-0.5295	-0.3959	-2.556	-2.837	-3.184	-2.837	-0.2688	0.1243	-1.029
b1085 	b1085	orf,_hypothetical_protein	-0.754392658	0.001375	-9.506352666	0.3561	0.01436	-0.0145	0.275	-0.2863	-0.3219	-0.3219	-0.6215	-0.4344	-0.5778	-1.152	-0.2863	0	-0.1844	-0.9714	-1.889	-0.2345	-1.434	-1.599	-1.0416	-1.434	-2.322	-1.463	-2.252	-1.0457	0.2388	-1.092	-3.474	-3.184	-4.059	-3.837	-3.184	-1.69	-3.184	-3.322
b1832 	b1832	orf,_hypothetical_protein	-0.717231458	0.001375	-9.506352666	0.1763	-0.04394	0.04264	0.3896	0.4436	-0.02915	0.1763	-0.3401	0.3785	0.5753	-0.1681	0.189	-0.737	0.1635	-1.12	-0.7612	-0.4941	-1.12	-0.6215	-1.5615	-1.358	-1.396	-1.488	-1.943	-1.8375	-0.9714	-0.737	0.189	0.2388	0.1243	-0.889	-0.6666	-1.059	-1.515	-2.474
grxC 	b3610	glutaredoxin_3	-0.807738084	0.001375	-9.506352666	0.01436	0.1635	-0.2176	0.5558	0.3448	0.1763	0.07039	0.1243	0.5059	0.6229	0.7485	-0.08927	0.4957	0.01436	-0.05889	-0.074	-0.0145	-0.1047	0.2869	-0.52675	-0.454	-0.08927	-0.774	-0.3585	-0.90245	-0.2176	-0.152	-0.6439	-0.6666	-0.7131	-0.8625	-0.6897	-0.6439	-0.6439	-0.415
b2373 	b2373	putative_enzyme	0.773529021	0.0015	-9.3808217839	-0.5564	-0.5778	-0.02915	-0.1681	0.3448	-0.2009	-0.5353	-0.4739	-0.7131	-0.3771	0.01436	0.2388	0.7398	-0.2688	0.3219	0.757	0.3219	0.3896	0.4542	0.22309	0.3448	1.692	0.08845	1.098	1.1505	0.8875	0.273	1.491	0.8639	2.26	2.578	2.365	1.757	1.895	2.114
gyrB 	b3699	DNA_gyrase_subunit_B,_type_II_topoisomerase,_ATPase_activity	0.741595461	0.001625	-9.2653445665	0.2987	0.9411	0.2987	0.6229	0.9635	0.6871	0.774	0.7655	0.585	0.774	0.4222	-0.2176	0.08406	-0.2176	0.669	0.7824	0.8953	0.856	1.47	1.5965	1.585	2.662	2.324	2.995	1.854	1.637	1.0265	0.5945	1.379	1.945	1.696	1.189	2.275	2.305	2.651
plsX 	b1090	glycerolphosphate_auxotrophy_in_plsB_background	-0.749249168	0.00175	-9.1584293626	0.251	0.774	0.8875	-0.415	-0.7612	0.848	0.5753	1.029	-0.0145	0.2265	-0.2009	-0.3959	-0.04394	-0.04394	-0.3401	-0.8625	-0.1361	0.251	-0.1681	-2.1355	-2.184	-1.837	-2.6555	-2.059	-1.943	-0.2009	-0.778	-1.152	-1.358	-2.059	-1.286	-1.184	-0.8625	-1.599	-2.644
b1168 	b1168	putative_proteases	0.765513105	0.00175	-9.1584293626	0.1635	-0.3585	0.6508	-0.5778	0.7908	-0.737	-0.6215	-0.5778	-1.358	-1	0.7137	1.322	-0.0145	0.5261	1.628	1.163	1.057	0.9411	1.098	0.72215	1.151	1.275	0.99275	1.705	1.586	0.6508	0.604	1.718	1.379	2.367	2.278	2.004	1.57	1.459	1.84
b1840 	b1840	putative_resistance_protein	-0.671376564	0.001875	-9.0588936891	-0.02915	0.111	0.08406	0.4005	0.5558	0.1375	-0.05889	0.111	0.189	0.2388	0.05658	-0.2863	-0.304	-0.152	-1.029	-0.5146	-0.7612	-0.8365	-0.811	-1.0895	-1.358	-1.943	-1.186	-2.396	-0.935	-2.322	-0.845	-0.7612	0.189	0.4751	-1.286	-0.2009	-1.837	-2.252	-3.184
cpdB 	b4213	2':3'-cyclic-nucleotide_2'-phosphodiesterase	-0.75374572	0.001875	-9.0588936891	0.275	0.3219	-0.2688	1.029	0.275	0.3785	0.1635	0.05658	0.8237	0.1635	0.2016	0.4647	0.6599	0.3896	-0.2345	-0.2009	-0.3771	-0.5146	0.4436	-0.21876	-0.2688	0.1243	-0.56205	-0.7859	-0.99425	-1.029	-0.9715	-0.2515	-0.2515	-0.6215	-0.1681	-0.04394	-0.2176	-0.304	-0.3771
fixB 	b0042	probable_flavoprotein_subunit,_carnitine_metabolism	0.760231882	0.001875	-9.0588936891	-0.304	-0.7131	0.08406	-0.2688	-0.02915	-0.2345	-0.1681	-0.1681	-0.152	-1.322	-0.1047	-1.252	-0.6666	-1.358	0.1635	-0.3585	-0.2515	-0.04394	0.856	0.66415	0.6415	1.449	0.3141	0.5753	0.5563	1.176	0.42	0.4957	0.3334	0.546	1.836	0.4854	1.31	1.064	1.057
ydgR 	b1634	putative_transport_protein	-0.724777206	0.002	-8.9657842847	0.263	0.3561	-0.08927	-0.08927	-0.6897	-0.152	-0.3771	-0.2009	-0.7131	-0.7612	-1.029	-0.9714	-0.5778	-0.6439	-1.252	-2.12	-0.5995	-1.434	-1.286	-1.671	-1.322	-2.252	-1.668	-2.322	-2.297	0.4005	-1.0295	-1.515	-1.889	-2.737	-2.12	-2.474	-1.184	-3.474	-1.286
ppc 	b3956	phosphoenolpyruvate_carboxylase	-0.743363323	0.002	-8.9657842847	0.275	0.3334	0.04264	0.7049	1.551	-0.0145	-0.2345	-0.3401	0.1243	0.585	-0.5564	0.07039	0.2388	-0.1361	-1.515	-0.6439	-1.396	-2.474	0	-0.5978	-0.4344	-0.5778	-1.0947	-0.6439	-1.4365	-1.059	-0.737	-0.7131	-1.12	-2.252	-1.358	-1.089	-0.2688	-0.5995	-0.6897
lspA 	b0027	prolipoprotein_signal_peptidase_(SPase_II)	-0.749193844	0.002	-8.9657842847	0.2016	0.3896	0.3334	0.1635	-0.05889	0.669	0.08406	0.4751	0.3561	0.2869	-0.7131	-0.1203	-0.5353	0.04264	-0.2515	-0.5564	-1.322	-0.811	0.4647	-0.9162	-0.5353	-0.889	-0.9714	-2.12	-1.0457	-1.434	-1.4715	0.3219	-0.454	-1.434	-1.286	-0.415	-1.322	-1.322	-1.515
tolA 	b0739	membrane_spanning_protein,_required_for_outer_membrane_integrity	-0.563864397	0.002	-8.9657842847	0.01436	0.1763	0.1763	-0.3771	-0.6897	-0.04394	-0.2515	0	-0.5564	-0.3959	-0.9159	-0.1047	-0.2009	-0.05889	-1.644	-1.889	-0.9434	-0.9714	-1	-2.253	-2.396	-1.556	-1.5615	-0.6666	-1.4785	-2.252	-1.06	-1.152	-1.089	-0.1681	-0.3585	-0.152	-1.286	-1.889	-0.5564
b1827 	b1827	putative_regulator	-0.671111561	0.002	-8.9657842847	0.07039	0	-0.3401	0.05658	-0.7131	0.4542	0.6323	0.1506	0.263	0.2141	0	-0.02915	-0.08927	0.4114	-0.811	-0.811	-0.3219	-0.08927	-0.6439	-1.359	-1.396	-1.152	-1.644	-1.322	-1.501	-0.1203	-0.5145	-0.415	-0.2688	-1.474	-0.6439	0.08406	-0.5995	-0.8365	-1.474
yojN 	b2216	putative_2-component_sensor_protein	-0.638079432	0.002	-8.9657842847	0.1243	0.3896	0.08406	0.3561	0.6041	0.1763	-0.04394	0.3103	0.3219	0.5753	0.275	-0.2009	-0.3771	0.2016	-0.9434	-0.5995	-0.3219	-0.4739	-0.9714	-1.2125	-1.252	-1.089	-1.3495	-1.089	-1.252	-0.6215	-0.076	-0.1681	0.3334	0.5261	-0.152	-0.2688	-0.5995	-1.089	-1.474
topB 	b1763	DNA_topoisomerase_III	-0.780133388	0.002	-8.9657842847	-0.2176	0.02857	-0.08927	0.02857	0.1506	0.263	0.02857	0.2869	0.1763	0.1506	-0.3219	-0.04394	0.189	-0.02915	-0.02915	-0.05889	0.1243	-0.5995	0	-0.83745	-0.7859	-0.6897	-1.344	-1.252	-1.5365	-1.184	-0.609	-0.4344	-0.3771	-1.889	-1.184	-0.4739	-0.454	-0.6439	-0.9434
serB 	b4388	3-phosphoserine_phosphatase	-0.705334379	0.002	-8.9657842847	-0.1844	-0.02915	-0.2176	0.1375	-0.4344	-0.152	-0.1361	-0.152	0.111	-0.3219	0.5945	0.08406	0.6135	-0.074	-0.5778	-0.2515	-0.454	-0.2345	-0.6666	-1.02325	-0.7131	-0.889	-0.811	-0.7131	-0.9574	-1	-0.4445	-0.4739	-0.811	0.2388	-1.089	-0.5353	-1.184	-0.9434	-0.7859
mtlR 	b3601	repressor_for_mtl	-0.601645248	0.002	-8.9657842847	0.6229	0.546	0.4005	0.433	0.3103	0.2388	0.4854	0.3785	0.263	-0.0145	0.4542	0.8156	0.3674	0.5059	-0.889	-0.1361	-0.02915	0.04264	-0.2009	-0.71245	-0.6897	-0.7131	-0.5965	-1.059	-0.5087	0.774	0.3656	-0.1361	0.2388	-0.4344	-0.2345	-0.3219	-0.02915	-0.04394	0.01436
ynhG 	b1678	orf,_hypothetical_protein	-0.717729423	0.002	-8.9657842847	0.1375	0.275	0.4751	-0.05889	0.7908	-0.05889	0.09761	0.1243	-0.2863	0.02857	0.1243	0.05658	0.08406	-0.1681	-0.3771	-0.5564	-0.6439	-0.5778	0.01436	-0.19202	-0.08927	-0.2515	-0.40395	-0.7859	-0.58865	-0.5146	-0.39295	-0.9159	-0.811	-1.184	-0.454	-0.3219	0.05658	-0.5146	-0.454
pgpB 	b1278	non-essential_phosphatidylglycerophosphate_phosphatase,_membrane_bound	-0.760045394	0.002	-8.9657842847	-0.074	0.01436	0.275	0.1635	0.4222	0.111	0.111	-0.08927	-0.1047	0.04264	0.189	-0.074	-0.2345	0.3448	0.2265	-0.415	-0.2009	-0.2863	-0.04394	-0.5564	-0.8625	-0.2515	-0.30965	-0.6666	-0.5778	-0.1681	-0.227	-0.6439	-0.3771	-0.5995	-0.6215	-0.415	-0.1361	-0.304	-0.7859
nohA 	b1548	homolog_of_Qin_prophage_packaging_protein_NU1	0.722190153	0.002	-8.9657842847	-0.04394	-0.7131	-0.04394	-1.396	-0.08927	-0.415	-0.5146	-0.889	-0.6215	-0.3585	-0.889	-0.02915	-1.059	-0.1047	0.8797	-0.009508	0.1635	-0.08927	-0.454	0.36985	0.5753	0.2869	0.37265	0.4436	0.54825	0.251	0.2828	1.475	0.7485	1.104	0.8875	1.043	0.09761	0	0.07039
b1169 	b1169	putative_ATP-binding_component_of_a_transport_system	0.713957468	0.002	-8.9657842847	-0.0145	0.07039	0.4005	-0.7859	0.3219	-1.599	-1.059	-0.811	-1.184	-0.9434	0.7485	3.136	1.029	1.655	3.021	4.731	4.149	2.776	1.989	1.449	1.526	1.864	1.393	2.508	2.3845	2.23	1.314	2.353	2.322	3.976	3.2	3.575	2.725	1.284163	2.698
hemN 	b3867	O2-independent_coproporphyrinogen_III_oxidase	-0.648807025	0.002125	-8.8783214434	0.516	0.6135	0.4854	0.189	0.546	0.1763	0.4436	0.275	-0.415	-0.3959	0.5059	-0.5564	-0.6666	-0.1844	-0.4344	-1.184	-0.842994	-1.434	-1.434	-1.7615	-1.786	-1.599	-1.185	-1.252	-1.1287	-3.184	-0.7575	-0.6215	-0.7131	0.189	0.09761	-0.9714	-0.5353	-0.8365	-1.69
uspA 	b3495	universal_stress_protein;_broad_regulatory_function?	-0.813146236	0.00225	-8.7958592832	0.546	0.5558	-0.3219	1.373	1.339	-0.02915	0.1506	0	1.17	1.345	-0.074	0.9855	1.07	0.4436	-0.889	-0.3959	0.189	-0.7859	0.3448	0.0607	-0.2176	-0.4344	-0.6989	-0.5778	-0.8495	0.2987	-0.1344	-0.4344	-0.737	-1.515	-1.322	-1.322	-0.737	-1.218	-1.737
gppA 	b3779	guanosine_pentaphosphatase;_exopolyphosphatase	-0.711003977	0.002375	-8.7178567712	0.516	0.2141	0.2987	1.104	0.9709	0.189	-0.1203	0.05658	0.4854	0.6135	-0.8625	-0.4344	-0.6439	0.1635	-0.5353	-0.5146	-0.3959	-0.4941	-1.322	-2.001	-2.12	-2	-1.668	-1.515	-1.1697	-0.04394	-0.05235	-0.1047	-1.69	-1.029	-1.152	-0.6439	-1.322	-1.556	-2.556
eutB 	b2441	ethanolamine_ammonia-lyase,_heavy_chain	-0.597898391	0.0025	-8.6438561898	-0.074	0.1375	0.1635	0.1763	0.5558	-0.152	-0.0145	0.111	0.111	0.7398	-0.415	0	0.3896	-0.2515	-0.939636	-0.415	-0.889	-0.889	-1.252	-0.148975	-0.304	-1.515	-0.03397	-1.515	0.128875	-0.6439	-0.56	-1.358	-0.2688	-0.9434	-0.3401	-0.0145	-0.8625	-1.322	-1.286
ubiH 	b2907	2-octaprenyl-6-methoxyphenol-->_2-octaprenyl-6-methoxy-1,_4-benzoquinone	0.725391443	0.00275	-8.506352666	-0.02915	0.263	0.05658	-0.08927	0	0.1375	0.1506	0.1243	0.1375	-0.04394	-0.4344	-0.304	0.1763	0.02857	0.3103	0.4751	0.251	0.3219	0.3785	0.1741	0.4436	0.8156	0.6135	0.4647	0.4798	0.07039	-0.029445	0.4647	1.014	1.316	0.856	1.098	1.270048	0.8875	0.6323
purC 	b2476	phosphoribosylaminoimidazole-succinocarboxamide_synthetase_=_SAICAR_synthetase	0.668850338	0.00275	-8.506352666	-0.6666	-0.2345	-0.3219	-0.811	-1	-0.4344	-0.2688	-0.2176	-0.889	-0.5353	-0.1203	-0.737	-0.4739	-0.3585	-0.1047	-0.0145	-0.1203	0.6781	0.1243	0.9665	0.9855	-0.04394	0.84885	-0.3401	0.65525	-0.7612	0.02829	0.433	0.07039	0.4114	0.4647	0.02857	0.2987	0.1375	-0.1361
molR_3 	b2117	molybdate_metabolism_regulator,_third_fragment	0.721147004	0.00275	-8.506352666	-0.279459	-1.252	0.04264	-0.9159	-0.2345	-0.08927	-0.304	-0.3959	0.01436	-0.7859	-0.3401	-0.9434	-0.5995	-0.2863	0.2141	-0.3771	-0.5995	-0.3585	0.4542	0.507	0.2987	1.705	0.2008	0.669	0.4328	0.3103	0.20025	1.444	1	1.214	1.454	0.8953	0.903	0.5945	0.3448
rcsB 	b2217	positive_response_regulator_for_colanic_capsule_biosynthesis,_(sensor,_RcsC)	-0.753334406	0.002875	-8.4422223286	0.3896	0.5945	0.3674	0.189	0.7485	0.1635	0.111	0.05658	0.516	0.3103	-0.6215	-0.304	-0.2863	0.5059	-1.089	-0.152	-0.1361	-0.5995	-0.2863	-0.83055	-0.304	-0.4344	-0.79645	-0.7612	-1.0205	-1	-0.5445	0.263	-0.8365	-0.4344	-0.5995	-0.5564	-0.2688	-0.3771	-1.184
tdcB 	b3117	threonine_dehydratase,_catabolic	0.802143637	0.002875	-8.4422223286	0.2265	-0.7859	-1.889	0.8718	-1.644	-0.2176	-0.737	-1.474	1.077	-0.8625	-0.05889	0.9486	-0.3771	-0.4344	0.3896	0.774	0.7991	0.9184	0.2016	0.91915	1.17	0.8875	2.032	1.422	3.359	1.111	0.532	1.856	1.293	2.16	3.366	2.541	1.417	2.77	3.636
bcp 	b2480	bacterioferritin_comigratory_protein	-0.749493968	0.003	-8.3808217839	-0.152	0.1506	-0.0145	-0.4941	0.251	0.1243	-0.1203	0.1506	-0.04394	0.1763	-0.8625	-0.5146	-0.2515	-0.04394	-0.7859	-1.029	-0.811	-1.218	-0.05889	-0.34905	-0.4941	-0.811	-0.72745	-1.837	-1.322	-2.322	-1.161	-0.415	-0.6897	-1.218	-1.786	-1.599	-0.5564	-0.5146	-1.059
thrA 	b0002	aspartokinase_I,_homoserine_dehydrogenase_I	-0.744285685	0.003125	-8.3219280949	0.1506	0.2388	0.4222	1.275	1.257	0.8718	0.7485	0.856	1.475	1.816	-0.05889	0.3103	0.3896	0.1506	-0.8625	0.05658	-0.5353	-1.152	0.3219	-0.30125	-0.2515	0.01436	-0.3585	-0.08927	-0.3058	-0.02915	-0.11725	0.1375	-0.2176	-0.5146	-0.3585	0.02857	-0.8365	-0.9434	-1.786
yciI 	b1251	orf,_hypothetical_protein	-0.664770563	0.003125	-8.3219280949	-0.1361	-0.2688	-0.5778	0.05658	0.4222	-0.3959	-0.2688	0.1763	0.07039	0.1375	-0.415	-0.3959	-0.2176	0.2141	-0.6666	-1.152	-0.9434	-1.474	-0.4344	-1.0457	-1	-0.5564	-1.029	-1.515	-1.495	-0.8365	-0.19795	-0.6897	0.05658	-0.304	-0.4344	-0.5146	-1.089	-0.9714	-1.218
bfr 	b3336	bacterioferrin,_an_iron_storage_homoprotein	0.698348453	0.003125	-8.3219280949	-0.05889	-0.2688	0.01436	-0.5778	0.1506	-0.1203	-0.08927	-0.2345	-0.5353	-0.1361	-0.5353	-0.2688	-0.1844	0.04264	0.3334	0.04264	-0.1681	0.02857	0.6135	0.083805	-0.074	0.5656	0.37295	0.4647	0.3526	0.4854	0.34355	0.3448	0.856	0.6599	0.7991	0.4647	0.05658	0.2016	-0.1844
b1501 	b1501	putative_oxidoreductase,_major_subunit	0.699282636	0.00325	-8.2653445665	-0.8625	-0.454	-0.2688	0	-0.08927	-0.3219	-0.5353	-0.1361	-0.304	-0.6666	0.7655	1.064	1.48	0.903	2.014	2.986	2.609	2.098	0.4542	0.41315	0.585	1.945	0.37745	2.333	0.9592	1.872	0.83	0.696	0.9855	1.852	3.231	3.245	2.342	1.852	1.293
b1284 	b1284	putative_DEOR-type_transcriptional_regulator	-0.61724103	0.003375	-8.2108967825	0.02857	-0.3959	0.08406	0.04264	-0.08927	0.2265	-0.0145	-0.04394	0.04264	0.2016	-0.8365	-0.5995	0.05658	0.09761	-2.252	-1.501284	-2.396	-2.12	-0.889	-0.93125	-0.415	-0.7612	-0.7402	-2.184	-0.58475	-1.059	-0.9185	-0.8365	-0.889	0.189	-1.252	-0.2515	-2	-1.644	-3.474
yjaE 	b3995	putative_transcriptional_regulator	-0.720381403	0.003375	-8.2108967825	-0.1203	0.1506	-0.08927	1.07	1.59	-0.0145	0.2869	0.09761	1.043	1.384	0.1506	0.08406	0.2987	0.4542	-0.9434	-0.4739	-0.4344	-0.7131	-0.3585	-0.4706	-0.2863	-0.8365	-0.3401	-0.8365	-0.2177	0.02857	-0.10045	-0.5353	-0.9714	-0.5778	-0.6897	-0.08927	-1.059	-2	-2.184
yfcG 	b2302	putative_S-transferase	0.671850729	0.003375	-8.2108967825	-0.1681	-0.8625	-0.304	-0.3401	0.3103	-0.6897	-0.1361	-0.4344	-0.4941	-0.3771	-0.304	-0.074	-0.9159	0.01436	0.774	-0.2176	0.02857	-0.2863	0.08406	0.4489	0.3674	0.09761	0.41665	0.263	0.31475	0.263	0.1724	1.506	0.9107	0.585	0.4854	0.05658	0.7137	1.077	1.339
b1841 	b1841	orf,_hypothetical_protein	-0.646293227	0.003625	-8.1078032895	-0.1361	0.111	0	0.3103	0.7398	0.263	0.1506	-0.152	0.275	0.4005	0.6415	-0.811	-0.02915	-0.1203	-2	-0.9714	-1.286	-1.218	-0.8365	-0.989	-0.811	-1.69	-0.86755	-2.474	-1.0457	-1.737	-0.717	-0.152	-0.5778	-0.304	-0.08927	-0.3585	-2.396	-3.059	-4.322
hcaR 	b2537	transcriptional_activator_of_hca_cluster	-0.681956076	0.003875	-8.0115879743	-0.1203	-0.5146	-0.4739	1.014	-0.1681	-0.1844	0.3896	-0.04394	0.8953	0.903	-0.4941	0.7655	0.275	0.669	-1.218	-0.811	-0.3959	-0.8625	-0.6897	-0.8333	-1	-1.184	-0.68455	-1.69	-0.46815	-0.5146	-0.4055	-0.811	-0.7612	-1.089	-0.8625	-0.1203	-2.737	-1.515	-2.919624
tolB 	b0740	periplasmic_protein_involved_in_the_tonb-independent_uptake_of_group_A_colicins	-0.732338952	0.004625	-7.756330919	0.2388	0.433	0.1506	-0.074	0.02857	-0.02915	0.02857	-0.02915	0.04264	0.1506	-0.5564	-0.415	0.05658	-0.074	-0.3585	-0.9159	-0.5778	-0.4941	0.4854	-1.515	-1.059	-0.152	-1.572	-0.5778	-1.5475	-1.556	-0.8685	-1.12	-1.556	-1.029	-1.786	-1.943	0.1506	-0.4941	-0.5146
yhiJ 	b3488	orf,_hypothetical_protein	0.734888835	0.004625	-7.756330919	-0.02915	-0.737	0.251	0.2388	0.6323	-1.12	-0.9434	-0.811	-1	-0.6215	0.6135	1.778	0.6871	0.4436	1.864	2.707	2.313	1.546	0.3785	0.6325	0.8237	0.7049	1.704	1.281	2.7155	1.131	0.872	1.118	1.566	3.36	3.755	2.353	0.9107	2.014	1.722
lrhA 	b2289	LysR_homologue_which_modulates__SprE(RssB)_activity	0.750058983	0.00475	-7.7178567712	0.3896	-0.1844	-0.2863	-0.04394	-0.1047	-0.3401	-0.304	-0.1681	0.01436	-0.3959	-0.8365	-0.3771	-0.2863	-0.2515	-0.02915	0.5361	0.5558	0.02857	-0.04394	-0.152	-0.1203	0.01436	-0.15255	0.516	0.4185	0.9336	0.4515	0.7049	0.4005	1.239	1.118	1.077	0.6041	1	1.05
b2253 	b2253	putative_enzyme	0.599084979	0.00475	-7.7178567712	-0.3401	-0.5564	0.1506	0.111	0.263	-0.2515	-0.4739	-0.4739	-0.1681	-0.3771	-0.1047	-0.1203	0.09761	-0.737	1.077	2.87	1.138	0.08406	1.104	0.2922	-0.0145	2.272	0.28085	2.746	0.9179	0.7049	0.1837	0.856	1.287	2.521	2.651	2.163	0.6323	0.2265	-0.3219
ubiA 	b4040	4-hydroxybenzoate-octaprenyltransferase	-0.713883077	0.005	-7.6438561898	0.05658	-0.2863	0.433	0.6135	0.3334	0.2987	0.5059	0.516	0.926	0.5656	-0.415	-0.2176	-0.3219	0.4542	-0.2863	-0.613537	0.2388	0	-0.8625	-1.152	-1.12	-1.029	-0.80105	-0.9434	-1.0445	-0.2345	-0.2573	-0.1047	-1.029	-0.5353	-1.358	-0.737	-0.2515	0.1635	-0.811
yjeS 	b4166	orf,_hypothetical_protein	0.774349396	0.005	-7.6438561898	0.546	0.6781	1.401	-0.3959	-0.4344	0.7137	0.7991	1	-0.1844	-0.2176	0.1506	-0.5146	-0.737	-0.454	0.546	0.02857	0.2869	0.4854	1.911	1.08825	1.316	2.029	1.1116	2.595	1.85	1.884	1.121	1.642	1.664	2.35	2.433	2.007	1.731	2.032	2.198
mukB 	b0924	kinesin-like_cell_division_protein_involved_in_chromosome_partitioning	-0.786202206	0.0055	-7.506352666	-0.1047	0.2016	-0.2345	0.1506	-0.3219	0.07039	-0.415	-0.1844	-0.02915	-0.5146	0.275	1.077	1.057	0.111	0.2016	-0.6666	-0.2688	-0.3401	0.05658	-1.06825	-1	-1.69	-1.1176	-2	-1.439	-3.059	-1.3685	-0.737	-1.556	-0.415	-2.737	-2.322	-1.556	-2.252	-3.644
ybbW 	b0511	putative_transport_protein	0.757794558	0.0055	-7.506352666	-0.1844	0.8797	0.02857	-1.089	-0.152	-1.12	-0.6439	-0.889	-1.218	0.111	-0.3585	0.7908	-0.5995	-0.5146	0.6599	0.4647	0.263	1.269	0.4854	0.34444	0.7137	0.3448	0.82195	0.251	0.7568	0.433	0.2925	1.86	1.227	1.623	1.748	1.678	0.3785	1.996	0.8797
dniR 	b0211	transcriptional_regulator_for_nitrite_reductase_(cytochrome_c552)	-0.637773552	0.00575	-7.4422223286	0.3334	0.3448	0.4222	-0.5778	-0.9434	0.6599	0.5558	0.4114	-0.8625	-1.089	-0.1047	-0.2863	-0.4941	-0.2863	-0.454	-1.69	-0.9159	-0.889	-1.434	-2.554	-3.322	-1.556	-2.863	-2.12	-2.7935	-2.322	-0.9715	-0.9714	-1.184	-0.6215	-0.811	-0.1681	-1.12	-1.358	-2.396
ppk 	b2501	polyphosphate_kinase	-0.578021758	0.00575	-7.4422223286	0.3785	0.111	0.189	0.433	0.546	-0.304	-0.1844	0.111	0.189	0.2987	-0.02915	0.1635	0.1635	-0.05889	-1.644	-0.9714	-0.6215	-1	-1.089	-1.341	-1.515	-2	-1.69	-1.837	-1.126	-1.69	-0.43125	-0.2176	0.01436	0.263	0.5261	0.6415	-1.515	-2.12	-2.943
yleA 	b0661	orf,_hypothetical_protein	0.720121732	0.00575	-7.4422223286	0.05658	0.5753	0.2016	-0.7131	-1	0.2388	0.2265	0.4542	-0.4344	-0.5353	-0.2515	-0.1844	-0.415	-0.2176	0.7225	0.4751	0.3561	0.5261	0.546	0.82265	-0.1844	1.485	1.10195	1.705	0.6676	0.516	0.3699	0.4222	0.926	1.239	1	0.275	1.48	1.963	2.401
mutM 	b3635	formamidopyrimidine_DNA_glycosylase	0.759504786	0.005875	-7.411195433	0.07039	-0.1361	0.8875	0.9107	0.3561	0.2265	0.07039	0.3219	0.5753	0.111	0.1763	0.04264	-0.1203	-0.02915	0.6508	1.005141	0.7225	0.4751	0.3219	1.053	0.8237	0.7655	1.189	1.269	0.8761	0.5558	0.857	0.4436	0.5945	1.233	0.9486	1.322	1.22	1.795	1.556
adhP 	b1478	alcohol_dehydrogenase	0.728038171	0.005875	-7.411195433	-0.4344	-0.2345	-0.3219	-0.2176	-0.2688	-0.2176	-0.152	-0.415	-0.6439	-0.7131	-0.0145	-0.1844	-1.474	-0.5778	0.6415	0.2869	-0.3585	-0.4344	0.02857	0.38915	0.2388	0.08406	0.182	-0.1844	0.3612	0.01436	0.14935	0.9928	0.6323	0.8875	0.848	0.7137	0.07039	0.4436	0.6781
dnaA 	b3702	DNA_biosynthesis;_initiation_of_chromosome_replication;_can_be_transcription_regulator	0.743484124	0.006	-7.3808217839	0.585	0.3674	0.4957	-0.2688	0.3561	1.208	1.124	0.7312	-0.05889	-0.2009	-0.1047	-0.3401	0.189	-0.05889	0.8875	0.757	1.189	0.7398	1.151	0.29295	0.6135	1.77	0.99105	2.467	1.414	1.632	0.9945	0.8797	1.322	2.646	2.217	1.975	1.501	1.692	1.299
fimI 	b4315	fimbrial_protein	-0.692151127	0.006125	-7.3510744405	-0.1361	0.1375	0	-0.5778	-0.5995	0.3219	0.3219	0.4751	-0.6215	-0.5995	0.4222	-0.3219	0.2141	0.3103	-0.6897	-0.5564	-0.5995	-0.5353	-0.3401	-1.2027	-1.252	-1.029	-1.89	-0.9714	-1.9605	-0.811	-0.1344	-0.6897	-1.12	-0.2009	-1.286	-0.6897	-1.737	-2.252	-1.029
